#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T14:53+0000 #
#####################################################################
#
# random = 5.0
#
# The columns have the following meaning: 
# time distance[mean] distance[std] 
0.0 406.023937399903 137.79273162180763
0.0 406.023937399903 137.79273162180763
1.0 406.023937399903 137.79273162180763
2.0 405.9607969226374 137.89114145027804
3.0 405.933116579859 137.92384370460172
4.0 405.8033819496357 138.09779739600145
5.0 405.57868930822434 138.34629160369525
6.0 405.26444016035225 138.56855532500313
7.0 404.9455224630254 138.7743339830115
8.0 404.4355685198316 138.98105267731017
9.0 403.64294577450215 138.98877451798222
10.0 402.8424151206256 138.9097765036709
11.0 401.9647164404236 138.7716882769983
12.0 401.1533341733015 138.67432298335746
13.0 400.3007487513648 138.61858442808656
14.0 399.4300085447023 138.55523934148522
15.0 398.53766200669224 138.44962974633827
16.0 397.6463635180592 138.34840224099537
17.0 396.7758054098005 138.25485172429913
18.0 395.92540549239584 138.14864414920157
19.0 395.11557463196914 138.051792921631
20.0 394.3060103457744 137.98923923590124
21.0 393.43988571355334 137.9097549328923
22.0 392.5537943407676 137.8028200973828
23.0 391.7065698851963 137.6971808440368
24.0 390.8199088968757 137.5878727454923
25.0 389.91607054534126 137.48879204272376
26.0 389.08807322643605 137.37468152240535
27.0 388.22160857748787 137.2596626339725
28.0 387.3615973712961 137.20255908867017
29.0 386.48141378160614 137.06899514206444
30.0 385.62020729245995 136.9629389021143
31.0 384.7160627359671 136.8281878089955
32.0 383.876761170777 136.74143865077187
33.0 382.99829762918233 136.64471766113743
34.0 382.12142580380623 136.542217084901
35.0 381.2430164865354 136.42662427324214
36.0 380.3684164985253 136.35223662695918
37.0 379.5144359567316 136.26152901939676
38.0 378.6598493158784 136.15187972463644
39.0 377.8072830750297 136.0150109115001
40.0 376.93213625200565 135.86922833341805
41.0 376.096658909537 135.76505038248644
42.0 375.2374833265694 135.66680313553127
43.0 374.3508557233112 135.54751442302842
44.0 373.4633012508535 135.4291529205288
45.0 372.6139552307993 135.306468337386
46.0 371.76758640568914 135.21694268672792
47.0 370.95380075971235 135.0379438065716
48.0 370.10244876551855 134.91663932375468
49.0 369.25721076848384 134.81444685709445
50.0 368.4404590338702 134.6729269628009
51.0 367.5738952895963 134.5014000232455
52.0 366.7326380114123 134.3976490941653
53.0 365.9024588728214 134.27482828835764
54.0 365.0945681564008 134.13264510139
55.0 364.2318720634721 133.9735888618145
56.0 363.34270762325633 133.84158776274234
57.0 362.4839225544642 133.70321716633066
58.0 361.60785153822195 133.57291560116968
59.0 360.75282826118115 133.4637349482517
60.0 359.91783628743497 133.33237117414356
61.0 359.04479164938374 133.19872527571712
62.0 358.1895324182348 133.04014101862833
63.0 357.3391788996218 132.91448622747387
64.0 356.5265543184744 132.70387737008247
65.0 355.7134887034378 132.53632596745612
66.0 354.9054284299443 132.4002488671511
67.0 354.09777448914286 132.16945491784682
68.0 353.3362827802396 132.00577487975897
69.0 352.5065544617173 131.8542276170413
70.0 351.6535017044818 131.69512243583733
71.0 350.8637423167461 131.52829257783543
72.0 350.01034359572736 131.3660285627465
73.0 349.1612926537548 131.20479469203357
74.0 348.37368935323275 131.0273313690149
75.0 347.57145586430653 130.88413755956958
76.0 346.7686464841201 130.75571053134578
77.0 345.93922226048215 130.61559723452427
78.0 345.10836321143285 130.4616323490184
79.0 344.2673091223683 130.2884499013417
80.0 343.4659913940195 130.1138194552401
81.0 342.66923317957594 129.97331971748147
82.0 341.8407304458979 129.78333471517053
83.0 341.0450934992094 129.58436802623916
84.0 340.24545049850155 129.39697472610038
85.0 339.43328580285305 129.23464495300777
86.0 338.6223250081279 129.0860943485637
87.0 337.8126571609045 128.90607484291678
88.0 336.9842468847999 128.72106575812248
89.0 336.2172364264401 128.59341941211352
90.0 335.41120342345874 128.44015451132003
91.0 334.6375939465719 128.24802804576845
92.0 333.85077568254593 128.05439467820298
93.0 333.0336521815404 127.85714011162777
94.0 332.23251775715556 127.66982068910175
95.0 331.45818425918196 127.49159360024538
96.0 330.6132964674097 127.32157293967019
97.0 329.8033029115407 127.12379516333617
98.0 329.08787219165043 126.98826053051711
99.0 328.2915415549743 126.79654741480202
100.0 327.50787744542663 126.60888759847377
101.0 326.73338460854507 126.46520148417487
102.0 325.9209385252096 126.26530178850595
103.0 325.14946505577615 126.09541905501794
104.0 324.3685550368178 125.8999621238129
105.0 323.63380495456533 125.76298856340888
106.0 322.865735782788 125.58789267754308
107.0 322.08003730364885 125.36578677193403
108.0 321.31221058646474 125.13308405289861
109.0 320.57310716422313 124.98008935275986
110.0 319.833755212678 124.77667621446193
111.0 319.01189832841294 124.59293412366794
112.0 318.2292763069716 124.36913635199254
113.0 317.4656511146109 124.12818582212132
114.0 316.6980234034301 123.90439861384021
115.0 315.9224236173459 123.72512316209381
116.0 315.16314171868123 123.53523527365594
117.0 314.41697139532795 123.33499404641935
118.0 313.6677750254123 123.12560945282866
119.0 312.872185341725 122.91109759373327
120.0 312.0969226054198 122.70508808022443
121.0 311.3042287540964 122.48712026807813
122.0 310.5278226414139 122.25827958764246
123.0 309.75845618796745 122.0739343911552
124.0 309.0090981940825 121.89447672726232
125.0 308.2413740768739 121.68086798244629
126.0 307.4750838743006 121.4796775665903
127.0 306.7258099573101 121.25320984252218
128.0 305.9626557769854 121.03673369278872
129.0 305.2119812893404 120.78415884892166
130.0 304.498309057491 120.59164832419506
131.0 303.7687117576744 120.34776024392465
132.0 303.0051988065183 120.10894108310988
133.0 302.3360392266425 119.94784663835514
134.0 301.6108044117689 119.7671057216212
135.0 300.9061390508004 119.58514095659946
136.0 300.23382440375775 119.35986913072314
137.0 299.5250258068812 119.17922486093586
138.0 298.7918186904906 118.96702368227524
139.0 298.08720241109876 118.76363757667399
140.0 297.3743118770088 118.50804408001012
141.0 296.63004818139643 118.27647949464303
142.0 295.8633838780987 118.03666183142859
143.0 295.1423161874377 117.81631442051244
144.0 294.40324912775117 117.53070935045072
145.0 293.6456796507323 117.28182834704077
146.0 292.94613164402995 117.03427308277264
147.0 292.2381878626157 116.79971042860446
148.0 291.5051442327593 116.55755990241816
149.0 290.7959577973392 116.29591199765648
150.0 290.0798229243904 116.03207310058414
151.0 289.3644753432842 115.77002351404177
152.0 288.6177681669846 115.5125829082417
153.0 287.91384630753384 115.2770767199647
154.0 287.20343686126967 115.06760110581814
155.0 286.46139097209374 114.80703417083484
156.0 285.79755387670997 114.57483205436777
157.0 285.0742185545519 114.34021832104125
158.0 284.35655162108094 114.08720112702865
159.0 283.64166255646063 113.84182308677396
160.0 282.94121510702706 113.60684076460166
161.0 282.20884677578044 113.33980877817257
162.0 281.5177393512245 113.06076109853332
163.0 280.78875192383805 112.79140056004603
164.0 280.06172015054744 112.52100126492178
165.0 279.3847657316639 112.27182383129554
166.0 278.7219286167776 112.04611815092538
167.0 278.0193645157146 111.80883049125788
168.0 277.31304292015585 111.52167487041558
169.0 276.5942502304308 111.24595824688895
170.0 275.9163000249294 110.95481891876682
171.0 275.2584402475479 110.68648529039466
172.0 274.617185647132 110.4621908782872
173.0 273.920210818068 110.19366042283774
174.0 273.22975995464174 109.91145896622693
175.0 272.5715641185398 109.66640601028472
176.0 271.87192864501804 109.41846147277003
177.0 271.1868878936667 109.14084017353072
178.0 270.50439792518057 108.87420807240886
179.0 269.8318067393806 108.60065764806457
180.0 269.1673138571177 108.31418984929563
181.0 268.4669879214818 108.03578514793016
182.0 267.7886508755162 107.75538028921378
183.0 267.13359023715435 107.50373780339001
184.0 266.4369419824446 107.24574119997645
185.0 265.79078002337627 106.96483777087307
186.0 265.1591110048145 106.67875925359583
187.0 264.499578051343 106.36299941989482
188.0 263.833735583773 106.07985349088602
189.0 263.18738732764916 105.78756216354196
190.0 262.54182513942914 105.47420800913648
191.0 261.9176978717937 105.22972249318263
192.0 261.2510573392322 104.92269346254584
193.0 260.5740136931676 104.62523287603887
194.0 259.9176021758455 104.33256079561134
195.0 259.24466638409837 104.03265631811888
196.0 258.6036167125358 103.76295210780061
197.0 257.9933576930684 103.51061747771936
198.0 257.3429786107541 103.21918966596046
199.0 256.69370820255637 102.90213860135502
200.0 256.06147818870204 102.60720836633438
201.0 255.43899061476057 102.31249851560014
202.0 254.78104232287978 102.00265752832884
203.0 254.16381563334141 101.67971136301702
204.0 253.52970816974585 101.38619846608353
205.0 252.92006256375825 101.09097674952984
206.0 252.33492612000654 100.82406578882959
207.0 251.69055248734517 100.50356549982483
208.0 251.04743129803248 100.18063787714897
209.0 250.4680603588562 99.92329847426375
210.0 249.8332168100385 99.63579798063994
211.0 249.26691392109396 99.34810465812494
212.0 248.66692535713366 98.98275203876803
213.0 248.0381187930336 98.64620446889391
