#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T15:06+0000 #
#####################################################################
#
# random = 3.0
#
# The columns have the following meaning: 
# time angle[mean] angle[std] 
0.0 190.88490795750923 102.47801107103737
0.0 190.88490795750923 102.47801107103737
1.0 190.88490795750923 102.47801107103737
2.0 190.91169777522725 102.47870751986879
3.0 190.93129430537144 102.47312307759665
4.0 190.9597996936891 102.47466681705998
5.0 191.011363371135 102.47611557073695
6.0 191.07860372586003 102.46378299067224
7.0 191.12304277776013 102.4713896999112
8.0 191.1875122863731 102.4679150732389
9.0 191.2527574630593 102.46481092968065
10.0 191.31018329107872 102.46539750450455
11.0 191.36902625693392 102.47205621643842
12.0 191.42528765283848 102.47141478487345
13.0 191.48718363979262 102.46619128147327
14.0 191.5543124468222 102.46777810707154
15.0 191.61822150613818 102.4720761015681
16.0 191.6839056304344 102.4704634625881
17.0 191.74797055951208 102.47142233409879
18.0 191.81220649828856 102.47097926367489
19.0 191.87207369367675 102.47619453249712
20.0 191.93456538710575 102.48303346583802
21.0 192.00262520714747 102.48397610555071
22.0 192.06945552157345 102.48934652069043
23.0 192.13682250817803 102.48901469582223
24.0 192.20516970312167 102.48876561009989
25.0 192.27564742395637 102.49131975123755
26.0 192.33542334926832 102.49674246850401
27.0 192.39933444017922 102.50733967881891
28.0 192.4686205569333 102.50959961037088
29.0 192.53940110580012 102.51293410585133
30.0 192.60722113519674 102.5208343416636
31.0 192.6739357961003 102.53241987061881
32.0 192.74585375392203 102.53732511121721
33.0 192.8118139754763 102.54052501948365
34.0 192.88165109536126 102.54518671887143
35.0 192.95106627038487 102.5525818930459
36.0 193.02355966930983 102.55620708672139
37.0 193.09564424992675 102.56449617505803
38.0 193.16885674053083 102.57412356304866
39.0 193.24167291017693 102.57889085669242
40.0 193.3104066149315 102.58084246353634
41.0 193.3766231241183 102.59129446045374
42.0 193.45244729895194 102.59952250652927
43.0 193.5283164798009 102.60731056112166
44.0 193.60409959341874 102.61518387662571
45.0 193.6797304781297 102.62531792233469
46.0 193.75350845620167 102.63130755048093
47.0 193.8144272117246 102.63892855536918
48.0 186.38699237829607 103.37469860027844
49.0 186.46339372834586 103.38252327286894
50.0 179.03514550315685 103.58572975126428
51.0 179.10927934661197 103.5878219400951
52.0 179.18739444716584 103.58475862677032
53.0 179.2678183111269 103.58429064629998
54.0 179.33897937161206 103.5901227480246
55.0 179.41149984179813 103.58152940072483
56.0 179.48777862385327 103.58466630256093
57.0 179.56588629852135 103.5885364941836
58.0 179.64765629913904 103.58703507488205
59.0 179.72818727703506 103.58510213369735
60.0 179.80784630385423 103.5851338822312
61.0 179.88929831246278 103.5840210053819
62.0 179.9704638486853 103.58296908076856
63.0 180.05107997218633 103.57934505409307
64.0 180.12672391377157 103.58908005105778
65.0 180.20624176328147 103.58784970989954
66.0 180.2900002400627 103.58707151167135
67.0 172.86882528149155 103.34852027681433
68.0 172.94340090217653 103.34904432031756
69.0 173.0244439076213 103.35839429589764
70.0 173.10550602842477 103.36341026875543
71.0 173.18849257451544 103.36035305877736
72.0 173.2765455875158 103.36210422218146
73.0 173.36058987174223 103.3728398876877
74.0 173.4395603522925 103.37965977456905
75.0 173.52681020457658 103.38448834109519
76.0 173.61417941927562 103.38575640080198
77.0 173.69724248557813 103.39787708704158
78.0 173.77990245347925 103.40796078355811
79.0 173.86311892225274 103.41858085296572
80.0 173.94109638532333 103.42280436724634
81.0 174.02425132935937 103.43375875786195
82.0 174.11139224138765 103.44499428525056
83.0 174.2003907067478 103.44569262007177
84.0 174.28098423666998 103.43836166278687
85.0 174.37119416266296 103.43815891215274
86.0 174.46328067436627 103.44057655358638
87.0 174.55427831124143 103.44102573148508
88.0 174.6476868598196 103.44333096277192
89.0 174.73735798805214 103.4492411573301
90.0 174.83148128716266 103.45166818317709
91.0 174.91277686681886 103.43844613516612
92.0 175.00750934558687 103.44085720695107
93.0 175.1034124355884 103.44294878824287
94.0 175.19713534859554 103.44576903123978
95.0 175.2870024459679 103.4440320482926
96.0 175.38392500095586 103.44599801021239
97.0 175.48263116166618 103.44796656431853
98.0 175.576874410346 103.45388616016515
99.0 175.67503238544666 103.45780686987744
100.0 175.76501145096438 103.46078868618251
101.0 175.8632262297676 103.46024124502738
102.0 175.96421476605641 103.46196377245167
103.0 176.0627560850945 103.46157795038383
104.0 176.16300308679993 103.46182878246275
105.0 176.26072554076623 103.46050399789851
106.0 176.36141587396446 103.46355905678143
107.0 176.46128456233487 103.47008032152391
108.0 176.55682654466293 103.470744212039
109.0 176.65899676993783 103.47570749156361
110.0 176.75644462803413 103.47597564648399
111.0 176.862595863804 103.47699778608761
112.0 176.95779549331988 103.48882599182045
113.0 177.05844074193496 103.47983876516132
114.0 177.1519145772519 103.46322567979927
115.0 177.23130751938174 103.49783653499239
116.0 177.3363995984952 103.493993613394
117.0 177.425714607009 103.51569328031356
118.0 177.51968901874955 103.54375447827931
119.0 177.6266093332205 103.54640436791952
120.0 177.71172587540175 103.57234492495418
121.0 177.8122637262826 103.5992245681669
122.0 177.90353404903044 103.61991822238035
123.0 178.0103073954621 103.61835956184544
124.0 178.10095837632764 103.64770801443201
125.0 178.193849293227 103.67644964961224
126.0 178.3052874342708 103.6767526442098
127.0 178.4109883796696 103.67239366848716
128.0 178.5218122968081 103.67215866410183
129.0 178.62613379408893 103.66860044346676
130.0 178.73545521330993 103.66559689736363
131.0 178.8374596419694 103.66668270973425
132.0 178.94728512907443 103.66890399527806
133.0 179.05019193378584 103.65439452352139
134.0 179.15936554745986 103.64365697480685
135.0 179.2604375973325 103.62273335618941
136.0 179.37196326428838 103.61542887285202
137.0 179.48811266370168 103.61344098082361
138.0 179.600517341962 103.60652102786324
139.0 179.70527405322198 103.61420525428885
140.0 179.81337799861276 103.6136719674342
141.0 179.93059713249934 103.61271994991513
142.0 180.0474051147439 103.61192316206396
143.0 180.14505424341561 103.59085105820479
144.0 180.25825924803658 103.58910389926531
145.0 180.37521326398644 103.59040960181547
146.0 180.48712486508603 103.59549602875059
147.0 180.59485519880624 103.59980811133045
148.0 180.70679083268502 103.60651828496893
149.0 180.7557866957828 103.67760252060354
150.0 180.79845150244043 103.73912314907435
151.0 180.84568956123584 103.8036721744148
152.0 180.95922807243596 103.80669893714838
153.0 181.06979603616844 103.81252172139278
154.0 181.16350189360605 103.79288496293341
155.0 181.27341250627535 103.79932061621814
156.0 181.37401018230193 103.80076978359106
157.0 173.96539728983927 103.60328576386883
158.0 174.01144491506201 103.65835574319098
159.0 174.10982104627564 103.64599773344474
160.0 174.20543770067513 103.63439288143901
161.0 174.30384181109682 103.6322792185851
162.0 174.4002861977716 103.63231113849683
163.0 174.49352515949474 103.63517602018415
164.0 174.5835584970217 103.6412529217476
165.0 174.67141263221473 103.65088685265238
166.0 174.74890094186915 103.65910648843067
167.0 174.82767201677527 103.67697275370712
168.0 174.9042289366682 103.69929319454143
169.0 174.975429436253 103.72680452501814
170.0 175.04080659960724 103.76080079955689
171.0 175.09656023744526 103.79700197687411
172.0 175.27296963497352 103.76125285733082
173.0 175.33600932887717 103.80129091129798
174.0 175.3944477922786 103.84998363111877
175.0 175.44580797293804 103.89364462674111
176.0 175.60977327717657 103.87217149527449
177.0 175.7935671409223 103.83665922494777
178.0 175.85599837726213 103.88546592835787
179.0 175.91166211336804 103.93052088519221
180.0 175.97067625087402 103.98801969866346
181.0 176.00812740109026 104.067167218349
182.0 176.06524975553933 104.13438937542192
183.0 176.12039316088507 104.2007394182639
184.0 176.14155902600453 104.26400709218538
185.0 176.1987594777382 104.33680220531731
186.0 176.25950011673123 104.41065397518138
187.0 176.31623642318553 104.49069188491394
188.0 176.51858194013502 104.4266051815135
189.0 176.71671403683237 104.36731339614708
190.0 176.91211759405994 104.31655661083293
191.0 176.97422587160858 104.39198073984885
192.0 177.03544361121206 104.46968079302759
193.0 177.1034971018994 104.5462802652374
194.0 177.17343693015184 104.62424023217852
195.0 177.2447401900564 104.70285888125883
196.0 177.3132183099841 104.77549319606308
197.0 177.3698910344209 104.85597840083277
198.0 169.93711519373406 104.44850468925148
199.0 170.0157747348318 104.50915663276469
200.0 170.07912771480252 104.58020055447528
201.0 170.1515581000144 104.64303317013265
202.0 170.26021955228666 104.68262031976003
203.0 170.3506342138422 104.7393893178097
204.0 170.44484124756755 104.79933435229678
205.0 170.53810957095953 104.86153844269744
206.0 170.63163281230592 104.92213338998427
207.0 170.7313116844866 104.98157720323677
208.0 170.83297673396666 105.04053581342377
209.0 170.9313204320673 105.09692222778823
210.0 171.03424269041204 105.1552340285732
211.0 163.6310185298445 104.26830525871495
212.0 163.733171655171 104.30761498626045
213.0 163.87265612986002 104.30418464405706
214.0 164.0103973150302 104.29983924012157
215.0 164.14328423439426 104.30586520817852
216.0 164.26294919120485 104.31850125637102
217.0 164.38015758058566 104.33843760467678
218.0 164.4887450547501 104.35894079417369
219.0 164.63128957821974 104.36774649338588
220.0 164.7503695295293 104.38387189871415
221.0 164.83414501270883 104.39081959233467
222.0 164.9749144274002 104.40607019749855
223.0 165.12119826093726 104.41110678775952
224.0 165.25557035012324 104.43815291385779
225.0 165.40145151424304 104.44594241523806
226.0 165.54677820199802 104.45550088953667
227.0 165.68108027013034 104.49077004538842
228.0 165.83090799435072 104.50612349776456
229.0 165.98352778425703 104.52585665331307
230.0 166.1263389118987 104.4721361146041
231.0 166.30195739020306 104.46982211676914
232.0 166.45175825128598 104.49588348821995
233.0 166.6046043220502 104.51864301532925
234.0 166.76117741278728 104.54581805380963
235.0 166.8780084148185 104.52697056176524
236.0 167.0236553808211 104.56275384257412
237.0 167.18060123882177 104.59376247062075
238.0 167.3367314688891 104.62523905098952
239.0 167.49468566544797 104.65913855558895
240.0 167.65029341266984 104.69191674259243
241.0 167.8023891688546 104.73106471314402
242.0 167.95896463517474 104.7709932148547
243.0 168.04533207527405 104.78845736237865
244.0 168.1982330912024 104.83702155112046
245.0 168.3551444366622 104.87352153408588
246.0 168.507771216848 104.92177338267348
247.0 168.66272580438644 104.96572033469474
248.0 168.8133420513414 105.01544284190149
249.0 168.96480109365635 105.06496770189105
250.0 169.10597165428928 105.12711649916963
251.0 169.24503572980103 105.18883493031562
252.0 169.39454810653294 105.23832483629946
253.0 169.52268480362696 105.29749025206793
254.0 169.66853091559207 105.34845780929314
255.0 169.81404367041003 105.39566704554987
256.0 169.98911279755922 105.40577062442502
257.0 170.1276285121913 105.45738496392123
258.0 170.2617289723298 105.49306571359479
259.0 170.4054193124884 105.53835313732564
260.0 170.5419341403285 105.5853271712922
261.0 170.68306458783044 105.62888064033102
262.0 170.81632485828672 105.67577609099857
263.0 170.94716933137045 105.71591741462812
264.0 171.0523689562532 105.70816575514678
265.0 171.1909418424448 105.74886545804998
266.0 171.32325688437152 105.79143327578748
267.0 171.45662988496508 105.83428952684152
268.0 171.58989916134308 105.87712387684147
269.0 171.71229593879988 105.90571284021665
270.0 171.84035373755964 105.93880042531899
271.0 171.9725450044377 105.9740702839191
272.0 172.09023856861492 106.01106807805544
273.0 172.21735829631245 106.04626193649842
274.0 172.34153602753895 106.08880598567177
275.0 172.46155945449627 106.11347800660728
276.0 172.58524083125158 106.15119440675868
277.0 172.71281239995665 106.18141554254629
278.0 172.83402448482855 106.20350588246467
279.0 172.96061014201123 106.2326000912757
280.0 173.08145740843293 106.25648986447497
281.0 173.19764875360647 106.29599066162285
282.0 173.307103389153 106.33223520047385
283.0 165.92305900751364 105.5915609787191
284.0 166.03021577578156 105.60020065488368
285.0 166.14217774059003 105.57770896217032
286.0 166.23812376805594 105.5853194882159
287.0 166.33554621234484 105.60110707333762
288.0 166.4237826908701 105.62986399512548
289.0 166.51718675455814 105.65165662111751
290.0 166.62124064947412 105.66305196551606
291.0 166.73895450389287 105.654074603089
292.0 166.85044396598605 105.6492520665736
293.0 166.96050820485445 105.64602533810464
294.0 167.07001078014903 105.63571932825208
295.0 167.17069829977675 105.64907363242023
296.0 167.27127005320563 105.6593143246443
297.0 167.36229314926643 105.6624055912592
298.0 167.45689179428882 105.68146121202982
299.0 167.5571581447377 105.69442237550183
300.0 167.65649044133676 105.70863043875553
301.0 167.74436420247685 105.72458344279467
302.0 167.8401499575687 105.74109218018975
303.0 167.9314851246445 105.76190401762014
304.0 168.01725097234055 105.79423569033501
305.0 168.1055510311214 105.80969494497222
306.0 168.18582878032785 105.8416577994476
307.0 168.27623562343288 105.86580791931422
308.0 168.35895945762232 105.89393908370764
309.0 168.4360314440688 105.92648337313022
310.0 168.51385907418125 105.94264310195649
311.0 168.5921869196176 105.96373091397525
312.0 168.67295669661388 105.99113510887085
313.0 168.74558095992052 106.0139049667317
314.0 161.31979883120934 104.98075870808599
315.0 153.89707247206454 103.40059424110365
316.0 153.9716653592334 103.43443871405677
317.0 154.04178466962944 103.46764128684922
318.0 154.10715366553353 103.50323058305793
319.0 154.18112326595568 103.52991452860057
320.0 154.25142038450338 103.55958340197043
321.0 154.32772415451777 103.58855243846736
322.0 154.3946669911148 103.6225854556235
323.0 154.4680965777721 103.6628709494415
324.0 154.54942222079404 103.69804884917622
325.0 154.65612923287065 103.70168682787536
326.0 154.72841197340844 103.74498191969894
327.0 154.79724535512563 103.78992973623615
328.0 154.86792700548418 103.83555227327959
329.0 154.93301129242568 103.88806068333342
330.0 155.00749354543808 103.93494710492422
331.0 155.08426862799067 103.98786876838648
332.0 155.150285491099 104.03509650529254
333.0 155.22668761758126 104.08266399319558
334.0 155.29232073645326 104.13513314180264
335.0 155.36869116768233 104.18296962086333
336.0 155.4415631002258 104.23495609233429
337.0 155.52360817237184 104.28242885806274
338.0 155.58749518442147 104.3302376722395
339.0 155.6666293816202 104.37943659722637
340.0 155.74054084129443 104.42981000260458
341.0 155.81365535108708 104.48073088579608
342.0 155.88874478407834 104.52080818356926
343.0 155.9681118387378 104.56588241072569
344.0 156.03464473113993 104.62379640853955
345.0 156.11682975947753 104.6666618476686
346.0 156.2015174220288 104.70838104080089
347.0 156.28496695110303 104.74577988757743
348.0 156.36392593798178 104.79222232475887
349.0 156.47058746847952 104.80824471407966
350.0 149.04902688876538 102.88532456553894
351.0 149.12578418104465 102.91925149417732
352.0 149.20346622454306 102.95424637337807
353.0 149.2794838705093 102.98825651942464
354.0 149.3534000133299 103.02127133036642
355.0 149.41397124402548 103.05342713655351
356.0 141.96897482796766 100.55909646137515
357.0 142.03320706114397 100.57970567526299
358.0 142.13314758718926 100.60928017162618
359.0 142.1787370767983 100.63311223600797
360.0 142.23509264337707 100.65056351164073
361.0 142.27437544293312 100.65165060474712
362.0 142.32024983102738 100.66149755873172
363.0 142.33941720655406 100.68330117861245
364.0 142.35777646281502 100.70251418110122
365.0 142.36653228749884 100.72585353842659
366.0 142.34735365928637 100.75003917325232
367.0 142.32159403578885 100.78511048185112
368.0 142.27241903014152 100.83750962752687
369.0 142.22355993476268 100.89951504383271
370.0 142.17230462546414 100.97248576060666
371.0 142.1070059712697 101.05084484245083
372.0 142.06946751446665 101.14032452332475
373.0 142.04147278036842 101.22589307932154
374.0 142.02036529929612 101.33063129000676
375.0 142.02346538356423 101.43201524751676
376.0 142.0283297874976 101.50712222825092
377.0 142.0621088268701 101.57596546563799
378.0 142.11226319738603 101.64454547270682
379.0 142.16315662742764 101.71803116893139
380.0 134.72483645649973 98.66013961591104
381.0 134.80281965549435 98.71299704984756
382.0 134.87548272285113 98.77285696600053
383.0 134.95925134818648 98.82573867048828
384.0 135.05134080613132 98.869207197329
385.0 135.14230208309436 98.92167451143452
386.0 135.22860015018765 98.93769731879088
387.0 135.32815911766235 98.98518699301033
388.0 135.4236209851683 99.00897477333694
389.0 135.53383371886818 99.04925718152887
390.0 135.64597357805965 99.08840302028045
391.0 135.76026200497736 99.12662037041471
392.0 135.86554764518277 99.1571298818529
393.0 135.98265474660437 99.19425652444524
394.0 136.09901842450623 99.2296090760714
395.0 136.22117734106016 99.26673901580625
396.0 136.3253567060502 99.28866278682123
397.0 136.44886223877754 99.31610521451759
398.0 136.5689326336876 99.34979142446389
399.0 136.69352718365695 99.38360166795293
400.0 136.8175504619299 99.41885929466756
401.0 136.9439220842378 99.45229821822586
402.0 137.05835491625416 99.49015430593346
