#####################################################################
# Alchemist log file - simulation started at: 2023-03-03T08:05+0000 #
#####################################################################
#
# random = 20.0
#
# The columns have the following meaning: 
# time avgDistanceTeam[mean] minDistance[min] inDanger dangerTriggered 
0.0 NaN NaN 0.0 0.0
0.0 NaN NaN 0.0 0.0
1.0 NaN 37.79670963568683 1.0 1.0
2.0 NaN 56.579852914031626 1.0 1.0
3.0 63.77047788662322 55.37652826638083 1.0 1.0
4.0 59.8748935306608 54.17483410217282 1.0 1.0
5.0 58.82937044713844 52.96764094031891 1.0 1.0
6.0 57.01157448739011 55.79107675881984 1.0 1.0
7.0 55.17593691305566 52.8202601283742 1.0 1.0
8.0 53.378121709609765 49.854213594869464 1.0 1.0
9.0 51.63093482368783 23.92301769945827 1.0 1.0
10.0 50.51861940782896 21.92301769945831 1.0 1.0
11.0 48.80132536877249 19.923017699458345 1.0 1.0
12.0 46.980390800947795 22.923017699458367 1.0 1.0
13.0 45.42660880599417 20.923017699458402 1.0 1.0
14.0 43.47859279775125 18.923017699458438 1.0 1.0
15.0 41.99342453755966 21.92301769945846 1.0 1.0
16.0 40.45378163719197 19.923017699458494 1.0 1.0
17.0 39.79644253091895 22.923017699458516 1.0 1.0
18.0 38.40417497640852 20.08812305121442 1.0 1.0
19.0 36.90843394736798 22.541765665106837 1.0 1.0
20.0 35.71601880875173 19.59680430510055 1.0 1.0
21.0 33.961944748651405 18.584446735349758 1.0 1.0
22.0 32.84634348409125 20.206123823480898 1.0 1.0
23.0 31.686608711076207 18.376352356047295 1.0 1.0
24.0 30.631212699038233 20.587181942719052 1.0 1.0
25.0 29.601851169545053 18.587182738893333 1.0 1.0
26.0 28.862511681519393 20.3123539921142 1.0 1.0
27.0 28.017151355954773 20.3123539921142 1.0 1.0
28.0 27.20512946150027 20.3123539921142 1.0 1.0
29.0 26.464346905949093 19.076612296275947 1.0 1.0
30.0 25.706542032114456 17.139138608798312 1.0 1.0
31.0 24.984300885671 15.21785161580882 1.0 1.0
32.0 24.38799771099887 13.3197576310513 1.0 1.0
33.0 23.782994442532647 11.456390308431512 1.0 1.0
34.0 23.155836124106425 9.647891710021298 1.0 1.0
35.0 22.77555168719337 7.931881869863665 1.0 1.0
36.0 22.381135277477775 6.383391382850194 1.0 1.0
37.0 22.29393643912178 5.1556397368144635 1.0 1.0
38.0 22.415554672940807 3.9400612161495494 1.0 1.0
39.0 22.3421025573203 2.3535710014012987 1.0 1.0
40.0 22.496628195659056 1.8853409586248855 1.0 1.0
41.0 22.849648519917427 4.642508296016066 1.0 1.0
42.0 23.12737673606082 5.384196876711662 1.0 1.0
43.0 23.701400043182925 5.5062574718070385 1.0 1.0
44.0 24.148036232733496 5.492568833099539 1.0 1.0
45.0 24.845447930065045 3.875814690856091 1.0 1.0
46.0 25.590196874732637 2.8063440005415394 1.0 1.0
47.0 26.23224017111025 2.6548314044186507 1.0 1.0
48.0 26.80723533433573 3.5389002590735865 1.0 1.0
49.0 27.498321097469677 5.868257666798084 1.0 1.0
50.0 28.21828266681499 7.700004881521425 1.0 1.0
51.0 29.022009441245498 9.599151124290772 1.0 1.0
52.0 29.82537552657811 7.179159672913863 1.0 1.0
53.0 30.492114784773303 5.290359304004059 1.0 1.0
54.0 31.483741762635027 3.5263961095899927 1.0 1.0
55.0 32.53121239953863 2.209759597331986 1.0 1.0
56.0 33.44196672559714 2.209759597331986 1.0 1.0
57.0 34.660569580968065 2.3088103937461972 1.0 1.0
58.0 35.735081583470745 4.028182721425949 1.0 1.0
59.0 36.85556926120641 4.084041328150115 1.0 1.0
60.0 37.939846601406195 5.013235592198071 1.0 1.0
61.0 39.16266565056818 6.448695111084468 1.0 1.0
62.0 40.27860472951597 7.964198266490526 1.0 1.0
63.0 41.30345924622703 9.362475272423493 1.0 1.0
64.0 42.24743893254797 10.949129299880962 1.0 1.0
65.0 43.17954642503471 12.653494443207453 1.0 1.0
66.0 44.22934139739094 15.615740658064784 1.0 1.0
67.0 44.883489829749664 16.265481856429012 1.0 1.0
68.0 45.6531259592632 18.132660842264457 1.0 1.0
69.0 46.21928586790721 20.02550569696955 1.0 1.0
70.0 46.661020641068696 21.937373763012946 1.0 1.0
71.0 47.205047312195695 23.8636932769615 1.0 1.0
72.0 47.61013897926409 25.801227606756733 1.0 1.0
73.0 48.05959749723349 27.747627560107524 1.0 1.0
74.0 48.381193622667446 29.701150220373822 1.0 1.0
75.0 48.688073229477 31.660477153889918 1.0 1.0
76.0 49.05317820913211 33.38841062226221 1.0 1.0
77.0 49.44916295347183 33.57946314179941 1.0 1.0
78.0 49.707736564068334 33.887678083665435 1.0 1.0
79.0 50.016945895580434 34.30989808951372 1.0 1.0
80.0 50.33404907530074 34.84197881756282 1.0 1.0
81.0 50.52749566417707 35.47897784511518 1.0 1.0
82.0 50.63307512125456 36.21535930989578 1.0 1.0
83.0 50.75543486802726 37.04519713749048 1.0 1.0
84.0 50.843916019902714 37.96236309776053 2.0 2.0
85.0 50.794521719289115 38.3394507101141 2.0 2.0
86.0 50.63328966181775 38.3394507101141 2.0 2.0
87.0 50.553922109936856 38.119957354283166 2.0 2.0
88.0 50.429622047192204 37.82560982665358 2.0 2.0
89.0 50.421522750555674 37.602770865025136 2.0 2.0
90.0 50.35658838675985 37.430442748563415 2.0 2.0
91.0 50.39104259197075 37.31410813358051 2.0 2.0
92.0 50.43963295687786 37.253853937160876 2.0 2.0
93.0 50.56134185039139 35.29330704213312 2.0 2.0
94.0 50.58623493446727 35.29330704213312 2.0 2.0
95.0 50.64932192001468 35.29330704213312 2.0 2.0
96.0 50.70040177356502 35.29330704213312 2.0 2.0
97.0 50.65153907816968 35.29330704213312 2.0 2.0
98.0 50.50389905358126 37.29317740919276 2.0 2.0
99.0 50.4240277291569 37.953163325412824 2.0 2.0
100.0 50.27616213497974 36.20227318591976 2.0 2.0
