#####################################################################
# Alchemist log file - simulation started at: 2024-01-16T14:06+0000 #
#####################################################################
#
# random = 9.0
#
# The columns have the following meaning: 
# time angle[mean] angle[std] 
0.0 183.6644865931779 104.34528917049018
0.0 183.6644865931779 104.34528917049018
1.0 183.6644865931779 104.34528917049018
2.0 183.6816440276228 104.34856714979045
3.0 183.69687409934747 104.33596783409894
4.0 183.71866765461644 104.33261350658715
5.0 183.75929925746595 104.3252478663037
6.0 183.81235791781103 104.31954102464024
7.0 183.854283220589 104.31764915437707
8.0 183.90624555677923 104.30738062483249
9.0 183.95962141072596 104.29771125484635
10.0 184.00279291912943 104.29953007953073
11.0 184.04752248102872 104.3076747186657
12.0 184.0984677141713 104.30159165002344
13.0 184.14977256621842 104.29091358693513
14.0 184.2041141939063 104.28504037782845
15.0 184.25520502051737 104.28185266131435
16.0 184.31022198900715 104.27453820896483
17.0 184.36404674459797 104.26575719911573
18.0 184.4175215949903 104.25726701414867
19.0 184.46758765187954 104.2537501604257
20.0 184.5197170876228 104.25159264286916
21.0 184.5748654403368 104.2438775564196
22.0 177.1292876262501 104.30313300155264
23.0 177.18635506325435 104.2942885865005
24.0 169.74130926191538 103.8152150999092
25.0 169.79777588500326 103.8067681386053
26.0 169.84517422640323 103.80124759751999
27.0 169.89728941077234 103.7976155196458
28.0 169.95400038693768 103.78735674444673
29.0 170.01271908379073 103.77849599406781
30.0 170.06841621001897 103.77276301582896
31.0 170.12298579384927 103.76966827773451
32.0 170.1838843485052 103.76143167551301
33.0 170.2427067663728 103.75187678266727
34.0 170.2960689916349 103.7510792590879
35.0 170.34710391401256 103.75321684839207
36.0 170.40594658805358 103.7434034982403
37.0 170.4646692405683 103.73804321607288
38.0 170.52518925642372 103.73388368764604
39.0 170.58753235489652 103.72808583584973
40.0 170.6429845422091 103.71414760629854
41.0 170.6999817589543 103.71048701819552
42.0 170.7607020589505 103.7035864179311
43.0 170.82168816914 103.69682926950517
44.0 170.88288545787896 103.69031306144917
45.0 170.94598145543068 103.68580530010807
46.0 171.00536833655943 103.67675558887409
47.0 171.0556186946773 103.67146191981105
48.0 171.11712409770794 103.664154382993
49.0 171.1796249259187 103.65819864133488
50.0 171.23868843422 103.65902742060665
51.0 171.2977777903102 103.65755187358278
52.0 171.36258667799493 103.65079968752634
53.0 171.43132310381463 103.64711061751716
54.0 171.49108721249354 103.64781087939333
55.0 171.5496058018235 103.63451498940974
56.0 171.61058362150536 103.63285642673877
57.0 171.67710352393908 103.6277365757082
58.0 171.74220787552318 103.62319397569938
59.0 171.80730615577957 103.61865253233032
60.0 171.87410437947548 103.61468000378211
61.0 171.94008953235198 103.61073010522148
62.0 172.00606411583874 103.60710346135774
63.0 172.07085065126373 103.60147049085951
64.0 172.13242466196456 103.60876975779858
65.0 172.19895942306235 103.60505834982993
66.0 172.2668556822491 103.60267177315804
67.0 172.33231830760974 103.6061270226351
68.0 172.39580442981332 103.59715489436911
69.0 172.46338456007712 103.59419356457819
70.0 172.52818490288072 103.59470108927259
71.0 172.59575239250492 103.58778087703655
72.0 172.66884607651704 103.58614103341408
73.0 172.73865838416143 103.58486824940415
74.0 172.80784173566244 103.57996468671331
75.0 172.87625305184932 103.58208541673508
76.0 172.94720477920632 103.58020507460574
77.0 173.01969982185088 103.57960116862222
78.0 173.09153940627507 103.57975187989692
79.0 173.1632368414313 103.58022443815878
80.0 173.2303773500112 103.57495992377318
81.0 173.30263173989215 103.57628204593472
82.0 173.37983446517066 103.5774108174588
83.0 173.45528044341725 103.57892787693075
84.0 173.51630960191278 103.56922749622477
85.0 173.58808411439426 103.5688670787025
86.0 173.66171620394496 103.57147287326123
87.0 173.73525670303806 103.57233601090775
88.0 173.80949083192647 103.57549922145675
89.0 173.88048017048197 103.58244188600368
90.0 173.95524832567034 103.58637094827569
91.0 174.01532413244067 103.57270527936143
92.0 174.09010604277083 103.57730899977433
93.0 174.16545962988042 103.58216563045083
94.0 174.24105313311102 103.58743823645293
95.0 174.3111576909623 103.5905592833084
96.0 174.3864475299512 103.59740369546014
97.0 174.46432629130229 103.60459606123413
98.0 174.53963776609478 103.6146116484704
99.0 174.61460747827948 103.6247938114358
100.0 174.68308164636858 103.6335469601866
101.0 174.75854691118104 103.64006195599755
102.0 174.8220777568371 103.66363164592374
103.0 174.89679596404127 103.67217408218853
104.0 174.97263003502178 103.68114048815906
105.0 175.04775890625305 103.68847423226214
106.0 175.12369329328087 103.70037339398804
107.0 175.19801611392757 103.71630891834158
108.0 175.26964473818728 103.72628603715525
109.0 175.3411711535941 103.74448928671012
110.0 175.41171605973227 103.7566240854458
111.0 175.48926473230003 103.77039287477166
112.0 175.5573496198624 103.79393670364624
113.0 175.62830961843875 103.7995180012817
114.0 175.68856767096952 103.79275042835314
115.0 175.7487062567192 103.82862102856132
116.0 175.8223613526686 103.84072681276238
117.0 175.89651351359223 103.85482522283483
118.0 175.9741640584593 103.87542353286912
119.0 176.04794397444994 103.89582552322634
120.0 176.10715175450207 103.91823297400562
121.0 176.19984173103626 103.9344380652811
122.0 176.26957435010706 103.95124313158193
123.0 176.34256311907464 103.97144223383378
124.0 176.41380631986564 103.99522221602408
125.0 176.4841482423036 104.01900888530288
126.0 176.55668526003652 104.0440306340899
127.0 176.62246983557125 104.0659790333519
128.0 176.6910416883284 104.09440450206833
129.0 176.7517909019809 104.12071701964574
130.0 176.81589193295375 104.14906479053258
131.0 176.87562693366763 104.18289769210621
132.0 176.9385394910728 104.21790833028811
133.0 176.99113183157397 104.23836391630518
134.0 177.04905075956447 104.26462494149959
135.0 177.0948724627648 104.27466995222747
136.0 177.1526933812527 104.30720915386622
137.0 177.21368638394748 104.3459330718564
138.0 177.24852303079703 104.40099891473061
139.0 177.2790858160764 104.47074592214219
140.0 177.30611254429957 104.53477639188769
141.0 177.3432936238921 104.60139832931044
142.0 177.39756670658957 104.6505314906589
143.0 177.41028313974246 104.69247611982566
144.0 177.44364244801378 104.76496090580537
145.0 177.49530505768567 104.81986385830113
146.0 177.5393919333247 104.87798889211886
147.0 177.57788016266548 104.93719727315971
148.0 177.62150682861719 104.99909554569516
149.0 177.66059054503987 105.06512665687215
150.0 177.6909378877341 105.12157297767561
151.0 177.7292814125543 105.1826137161731
152.0 177.8593372259495 105.18768638806432
