#####################################################################
# Alchemist log file - simulation started at: 2024-01-17T15:08+0000 #
#####################################################################
#
# random = 0.0
#
# The columns have the following meaning: 
# time angle[mean] angle[std] 
0.0 183.49068010538994 103.23511959862296
0.0 183.49068010538994 103.23511959862296
1.0 183.49068010538994 103.23511959862296
2.0 183.49840343756478 103.23763540633912
3.0 183.49844680619051 103.23473954286735
4.0 183.51085042875323 103.23312402643765
5.0 183.5453824577124 103.21247010635773
6.0 183.58514742328438 103.2047059641898
7.0 183.61695746086397 103.19690068328234
8.0 183.65377439298504 103.17979713463143
9.0 183.69190535941016 103.16330523216702
10.0 183.72251766734567 103.15156728653068
11.0 183.75805205575955 103.14353468534938
12.0 183.7937071376032 103.13146200254326
13.0 183.82995061120857 103.11413836453713
14.0 183.86911318141992 103.09987577028241
15.0 183.90515041187544 103.08845492863388
16.0 183.94495284976088 103.07388610321632
17.0 183.97599228323259 103.0679122141099
18.0 184.0134284495167 103.06081985776301
19.0 176.54755214592163 103.06971846046369
20.0 176.5874599629752 103.05141099620884
21.0 176.62619273621146 103.02813445175381
22.0 176.66381318664762 103.01090240325738
23.0 176.70676901386307 102.98813926978055
24.0 176.74647886710605 102.96499704476443
25.0 176.78793275171302 102.94450271264921
26.0 176.8236349612913 102.92205377542857
27.0 176.8591151341017 102.90879661914322
28.0 169.3996236417385 102.38398304470125
29.0 169.4427202650165 102.36127314736123
30.0 169.48226416067016 102.34120614504988
31.0 169.51109959972663 102.32360471464271
32.0 169.54807636621777 102.29959452164253
33.0 169.58199290424662 102.27465652703258
34.0 169.61889031456252 102.24943057180475
35.0 169.65671487697514 102.22495286088082
36.0 169.70218708071482 102.19981397893162
37.0 169.74748748239776 102.17931312518486
38.0 169.7833390232166 102.17219492946104
39.0 169.8263694677622 102.1539793199272
40.0 169.8673332669679 102.12854887726103
41.0 169.90696295652327 102.11158798691473
42.0 169.95192504850206 102.0895507521486
43.0 169.99598119758332 102.0681359947298
44.0 170.04026026889395 102.04680918923103
45.0 170.08353185502378 102.02886769064096
46.0 170.12669146982728 102.006246592888
47.0 170.16294217031017 101.99092049152237
48.0 170.20716955684756 101.96874182542456
49.0 170.24409947463573 101.95998543481286
50.0 170.2783712125389 101.95929820122363
51.0 170.3129127814836 101.95545533468008
52.0 170.35666584398416 101.93158114710363
53.0 170.40570902028404 101.91425542771141
54.0 170.44840746518773 101.9004137448168
55.0 170.490921549377 101.87624462053678
56.0 170.53405199765686 101.85936552858952
57.0 170.58394670782715 101.83899188980045
58.0 170.63432831242378 101.82024449184954
59.0 170.67250648098403 101.8130422769143
60.0 170.722725160975 101.79473546193739
61.0 170.76182674749987 101.78904150434751
62.0 170.79997995844647 101.779617703785
63.0 170.84694808823278 101.75970135140577
64.0 170.8888564291893 101.75346307910914
65.0 170.94058670218274 101.73377223771526
66.0 170.99044010673492 101.71612327141108
67.0 171.03665501166506 101.70493103696921
68.0 171.08198809757153 101.681894632818
69.0 171.13149572472608 101.66403084547598
70.0 171.17874536927786 101.64873670944742
71.0 171.22886865347516 101.62652672564666
72.0 171.28243744523948 101.6098473994835
73.0 171.3332902457304 101.5933747301658
74.0 171.38570518859714 101.57425612906931
75.0 171.43466072786586 101.561712436766
76.0 171.48517919917563 101.54478454940174
77.0 171.53896666169877 101.52894888718517
78.0 171.5914821510349 101.5141051765862
79.0 171.64366952442302 101.49957346969113
80.0 171.69205379263954 101.4803992138284
81.0 171.73420994260348 101.48084802396811
