#####################################################################
# Alchemist log file - simulation started at: 2023-03-03T08:05+0000 #
#####################################################################
#
# random = 56.0
#
# The columns have the following meaning: 
# time avgDistanceTeam[mean] minDistance[min] inDanger dangerTriggered 
0.0 NaN NaN 0.0 0.0
0.0 NaN NaN 0.0 0.0
1.0 NaN 45.215546980880866 1.0 1.0
2.0 NaN 56.080163587505524 1.0 1.0
3.0 63.333809355130214 54.0801635875055 1.0 1.0
4.0 58.369286799265446 52.080163587505474 1.0 1.0
5.0 56.58049263327906 50.08016358750545 1.0 1.0
6.0 54.79945237011699 48.08016358750543 1.0 1.0
7.0 54.048838113507315 46.080163587505446 1.0 1.0
8.0 52.38090061084387 44.08016358750545 1.0 1.0
9.0 50.46171763587475 42.080163587505496 1.0 1.0
10.0 48.85493420490674 31.190195997308887 1.0 1.0
11.0 47.645402385496055 19.552888994792923 1.0 1.0
12.0 45.92332051996911 22.552888994792877 1.0 1.0
13.0 44.002434045475376 20.55288899479294 1.0 1.0
14.0 42.40823096874552 18.552888994793005 1.0 1.0
15.0 40.804890227433866 21.190195997308873 1.0 1.0
16.0 39.76023613171181 19.190195997308866 1.0 1.0
17.0 38.25899464282873 21.757535817381584 1.0 1.0
18.0 36.94676516839262 19.759155479936044 1.0 1.0
19.0 35.817374431037265 20.30712931049938 1.0 1.0
20.0 34.40845621232988 17.922056376705775 1.0 1.0
21.0 34.22551316169836 18.35761025510054 1.0 1.0
22.0 33.327560809696415 18.33187383379242 1.0 1.0
23.0 32.00234286521012 17.91241868970086 1.0 1.0
24.0 31.3108561948883 20.028719629520186 1.0 1.0
25.0 30.263208879665875 17.81318320827404 1.0 1.0
26.0 29.38043475667706 17.18216409819547 1.0 1.0
27.0 28.515317709014845 17.18216409819547 1.0 1.0
28.0 27.77192196734786 15.89813525284233 1.0 1.0
29.0 27.140923895051 14.772490411441812 1.0 1.0
30.0 26.214483111334314 13.845657853443155 1.0 1.0
31.0 25.726928530011186 13.157760377713899 1.0 1.0
32.0 24.892902558400614 11.882984108144344 1.0 1.0
33.0 24.393387588740254 10.295194784654875 1.0 1.0
34.0 23.98640492949476 8.322738516832494 1.0 1.0
35.0 23.518305061523826 6.367489080096597 1.0 1.0
36.0 23.36813599074611 4.452174519348013 1.0 1.0
37.0 23.018369268062127 2.6643570924923123 1.0 1.0
38.0 23.082189415557174 1.5413434016780687 1.0 1.0
39.0 22.938296812384017 3.8580699605624225 1.0 1.0
40.0 22.963622517201237 4.439950875972955 1.0 1.0
41.0 23.017985652182627 4.305605496788376 1.0 1.0
42.0 23.1682153351718 3.4429522704570603 1.0 1.0
43.0 23.261955320322386 0.48628839838434484 1.0 1.0
44.0 23.600024856088055 1.1302496391587815 1.0 1.0
45.0 24.03384406242549 2.2679807258207743 1.0 1.0
46.0 24.6133980481768 3.5244639111913965 1.0 1.0
47.0 24.9453737529596 5.281381894626168 1.0 1.0
48.0 25.59042050454197 6.244146176757375 1.0 1.0
49.0 26.254061525903396 6.753918710582045 1.0 1.0
50.0 26.835119684097876 5.735656191064581 1.0 1.0
51.0 27.624813280713308 5.193864745809965 1.0 1.0
52.0 28.560496183721348 3.3801416002526232 1.0 1.0
53.0 29.4012726281706 1.9683707673477822 1.0 1.0
54.0 30.550325232927637 3.0637258899145583 1.0 1.0
55.0 31.83988810954808 3.8192593603315754 1.0 1.0
56.0 32.87444732866105 3.84525666727308 1.0 1.0
57.0 34.17490866952434 5.30900945053626 1.0 1.0
58.0 35.140692507905094 7.859343675274909 1.0 1.0
59.0 36.24947608502515 8.88733629178246 1.0 1.0
60.0 37.199217803317296 10.788156880204731 1.0 1.0
61.0 38.26367662557938 9.633961063978676 1.0 1.0
62.0 39.28698676573995 5.958720378318357 1.0 1.0
63.0 40.33508425441857 4.341994925072008 1.0 1.0
64.0 41.25078662902598 3.1936642453012585 1.0 1.0
65.0 42.09856096569368 3.089670321260864 1.0 1.0
66.0 42.98020119692491 4.110064972289943 1.0 1.0
67.0 43.61945650167549 4.110064972289943 1.0 1.0
68.0 44.36470425073322 5.677957859900796 1.0 1.0
69.0 45.01830488959437 7.455586954839551 1.0 1.0
70.0 45.53909113486875 8.93570577126528 1.0 1.0
71.0 46.15085136815659 6.941041011359146 1.0 1.0
72.0 46.69237737999076 4.950683085405042 1.0 1.0
73.0 47.19650347161997 2.9732937464807687 1.0 1.0
74.0 47.658925402469706 1.0824455614984758 1.0 1.0
75.0 48.0260896933627 2.365457227147218 1.0 1.0
76.0 48.42322861124008 3.179523925048017 1.0 1.0
77.0 48.92538831376943 3.032596075836641 1.0 1.0
78.0 49.35374967018949 4.0353321459833875 1.0 1.0
79.0 49.65575143925267 5.589545181748551 1.0 1.0
80.0 49.88996741751068 7.333090150654156 1.0 1.0
81.0 50.05725408643769 9.18052380281262 1.0 1.0
82.0 50.2133958765509 11.079906887270019 1.0 1.0
83.0 50.25916166031548 13.008644677420705 1.0 1.0
84.0 50.27941018225614 14.95600348963741 2.0 2.0
85.0 50.141833817347425 16.915577905785902 2.0 2.0
86.0 50.06447571280129 18.883593436116406 2.0 2.0
87.0 50.02908611161051 20.857685414412163 2.0 2.0
88.0 50.056874324501074 22.83628119264143 2.0 2.0
89.0 50.04402565380264 24.81830602755839 2.0 2.0
90.0 50.12914359200491 26.803000606321834 2.0 2.0
91.0 50.32148327910022 28.789813142192827 2.0 2.0
92.0 50.53960554687588 30.778333585367164 2.0 2.0
93.0 50.684765529390205 32.768251273699 2.0 2.0
94.0 50.87840157102538 34.75932626412533 2.0 2.0
95.0 50.929975393293795 35.07567077447727 2.0 2.0
96.0 51.111465926331185 35.300669596504896 2.0 2.0
97.0 51.10210576535178 35.63666470973282 2.0 2.0
98.0 50.98577839871978 36.08055530102787 2.0 2.0
99.0 50.85163285171121 36.62841889649768 2.0 2.0
100.0 50.79688901240448 37.27567131532976 2.0 2.0
