#####################################################################
# Alchemist log file - simulation started at: 2023-03-03T08:05+0000 #
#####################################################################
#
# random = 24.0
#
# The columns have the following meaning: 
# time avgDistanceTeam[mean] minDistance[min] inDanger dangerTriggered 
0.0 NaN NaN 0.0 0.0
0.0 NaN NaN 0.0 0.0
1.0 NaN 22.04507970904229 1.0 1.0
2.0 NaN 30.028964340013843 1.0 1.0
3.0 63.155580721881854 28.028964340013854 1.0 1.0
4.0 58.82369771514726 26.02896434001386 1.0 1.0
5.0 56.941950528560085 24.02896434001387 1.0 1.0
6.0 55.100247635052845 22.028964340013882 1.0 1.0
7.0 53.05816527811184 20.028964340013893 1.0 1.0
8.0 51.326797633535584 18.028964340013903 1.0 1.0
9.0 49.50219023907787 21.028964340013886 1.0 1.0
10.0 47.8023417230887 19.028964340013896 1.0 1.0
11.0 45.95128487204537 22.02896434001388 1.0 1.0
12.0 44.221614416044396 20.02896434001389 1.0 1.0
13.0 43.10420505498327 18.0289643400139 1.0 1.0
14.0 41.53687930505649 21.028964340013882 1.0 1.0
15.0 40.512365347609055 19.028964340013893 1.0 1.0
16.0 40.11311504042836 21.675556607104763 1.0 1.0
17.0 38.24150311683313 19.677422177991097 1.0 1.0
18.0 37.188479108132796 22.005729404483297 1.0 1.0
19.0 35.67712441964593 20.00572940448333 1.0 1.0
20.0 34.03570826178257 18.005729404483365 1.0 1.0
21.0 33.242733858216916 18.403043818430394 1.0 1.0
22.0 31.90996958046408 17.58204386941224 1.0 1.0
23.0 31.27053225168958 19.783736461950635 1.0 1.0
24.0 29.895599836603413 17.612914711512857 1.0 1.0
25.0 29.403854999148393 20.42051023720964 1.0 1.0
26.0 28.004441972463702 18.507673716105934 1.0 1.0
27.0 27.479034777139766 19.484164748416205 1.0 1.0
28.0 26.709612592439598 18.05030516323198 1.0 1.0
29.0 25.922604629777226 18.588618784793788 1.0 1.0
30.0 25.186560965629024 16.689399810407473 1.0 1.0
31.0 24.51649951079372 14.816726485187944 1.0 1.0
32.0 23.89373621144465 12.982091566543165 1.0 1.0
33.0 23.500633443525555 11.204196497176978 1.0 1.0
34.0 22.833557870103377 9.514900779965863 1.0 1.0
35.0 22.19452419172814 7.97073739109736 1.0 1.0
36.0 21.994444824490973 6.673228024208411 1.0 1.0
37.0 21.823961643097928 5.325864709126288 1.0 1.0
38.0 21.83099862032466 3.431252574836231 1.0 1.0
39.0 22.072795351733593 1.7838591773801764 1.0 1.0
40.0 22.266265696360733 3.380378011338714 1.0 1.0
41.0 22.508305238093264 3.0016416759790423 1.0 1.0
42.0 22.993608424443448 3.820045811558556 1.0 1.0
43.0 23.52209027443002 5.308073779991914 1.0 1.0
44.0 24.233327532810527 7.039805833568563 1.0 1.0
45.0 24.926014127688426 8.316210891246309 1.0 1.0
46.0 25.536340062468945 7.480865362188918 1.0 1.0
47.0 26.138524697454677 6.133672902754986 1.0 1.0
48.0 26.906895154443454 5.223085366951731 1.0 1.0
49.0 27.620319256030164 4.993926895945302 1.0 1.0
50.0 28.507271931068598 5.531545076524859 1.0 1.0
51.0 29.3650482606233 5.774463578854647 1.0 1.0
52.0 30.4238278515528 4.846577692083277 1.0 1.0
53.0 31.3221485096697 3.4770868235985595 1.0 1.0
54.0 32.461673923941795 2.9480417623035886 1.0 1.0
55.0 33.638153872863015 3.6457876632806316 1.0 1.0
56.0 34.68561359438246 5.0884757186383744 1.0 1.0
57.0 35.896081809750946 6.448046234229441 1.0 1.0
58.0 36.76885260962898 5.294036957514833 1.0 1.0
59.0 37.859207981641774 5.403775576452873 1.0 1.0
60.0 38.824685385757064 7.398508498696193 1.0 1.0
61.0 39.93474078542344 7.393530812148531 1.0 1.0
62.0 40.9263211917892 3.708363909576351 1.0 1.0
63.0 41.845894222835646 5.093584611058242 1.0 1.0
64.0 42.6759738301814 7.71105336155387 1.0 1.0
65.0 43.47292004898247 7.799913569779877 1.0 1.0
66.0 44.270155493661576 8.379556041183891 1.0 1.0
67.0 44.83923562791865 8.926562100735017 1.0 1.0
68.0 45.4207240295867 10.34242013009115 1.0 1.0
69.0 45.705941881922364 11.927006588917122 1.0 1.0
70.0 46.06018163251511 11.927006588917122 1.0 1.0
71.0 46.45223502120551 13.621373437787499 1.0 1.0
72.0 46.843256908204836 15.407923289470528 1.0 1.0
73.0 47.30160727514221 19.109083774074314 1.0 1.0
74.0 47.72784637625105 21.001883069871 1.0 1.0
75.0 48.080152968942315 22.91305714418191 1.0 1.0
76.0 48.472908916489956 24.838271030658674 1.0 1.0
77.0 48.862374953625135 26.77446302208403 1.0 1.0
78.0 49.130084414983486 28.719405541778226 1.0 1.0
79.0 49.328451239637594 30.67143144299198 1.0 1.0
80.0 49.548568830903186 32.417322096346034 1.0 1.0
81.0 49.338265028223354 32.629268815114635 1.0 1.0
82.0 49.27016286091943 33.425595742801036 1.0 1.0
83.0 49.1479707422178 33.930676806152746 1.0 1.0
84.0 49.18918695841055 33.70123602830605 2.0 2.0
85.0 49.26018498634752 33.58951911384119 2.0 2.0
86.0 49.385121001505624 33.58951911384119 2.0 2.0
87.0 49.549588960026995 33.59670047551084 2.0 2.0
88.0 49.797169321231046 33.722704112068165 2.0 2.0
89.0 50.00136586509751 33.966207680361755 2.0 2.0
90.0 50.230545915807866 34.32471059758107 2.0 2.0
91.0 50.287287890230616 34.79465839426459 2.0 2.0
92.0 50.348152590101094 34.79465839426459 2.0 2.0
93.0 50.33857337192169 34.79465839426459 2.0 2.0
94.0 50.31396823904155 34.79465839426459 2.0 2.0
95.0 50.2536090164656 34.79465839426459 2.0 2.0
96.0 50.19506451994039 34.79465839426459 2.0 2.0
97.0 50.07869159827475 34.79465839426459 2.0 2.0
98.0 50.024340989647825 34.79465839426459 2.0 2.0
99.0 49.94370642890453 34.79465839426459 2.0 2.0
100.0 49.8832646942941 34.79465839426459 2.0 2.0
