#####################################################################
# Alchemist log file - simulation started at: 2023-03-03T08:05+0000 #
#####################################################################
#
# random = 31.0
#
# The columns have the following meaning: 
# time avgDistanceTeam[mean] minDistance[min] inDanger dangerTriggered 
0.0 NaN NaN 0.0 0.0
0.0 NaN NaN 0.0 0.0
1.0 NaN 17.203160036184624 1.0 1.0
2.0 NaN 47.486897360097565 1.0 1.0
3.0 62.74810921551509 45.48689736009756 1.0 1.0
4.0 58.77373550495592 43.48689736009755 1.0 1.0
5.0 57.644318895378476 41.39779687075715 1.0 1.0
6.0 56.25929423082856 39.39840381973317 1.0 1.0
7.0 54.504603529561535 21.49972861062522 1.0 1.0
8.0 52.81526634336478 19.499728610625276 1.0 1.0
9.0 52.35511733819391 22.499728610625223 1.0 1.0
10.0 50.6427317593611 20.49972861062528 1.0 1.0
11.0 48.76667947794199 18.499728610625336 1.0 1.0
12.0 46.950748438333 21.499728610625287 1.0 1.0
13.0 45.24785503930484 19.499728610625343 1.0 1.0
14.0 43.37414179634248 22.49972861062529 1.0 1.0
15.0 41.67178798019067 20.499728610625347 1.0 1.0
16.0 40.4661064409803 19.317201923790666 1.0 1.0
17.0 38.921968858808334 20.62729410100085 1.0 1.0
18.0 37.55756824373694 18.807280471662388 1.0 1.0
19.0 36.16422324513544 20.94943473413334 1.0 1.0
20.0 35.995992243978876 18.362263362324764 1.0 1.0
21.0 34.649637666983324 18.343550053693956 1.0 1.0
22.0 33.58366438406626 18.343550053693956 1.0 1.0
23.0 32.57104252538705 21.27165528294287 1.0 1.0
24.0 31.475151816393122 18.618933609246383 1.0 1.0
25.0 30.68500626723308 20.674250778289714 1.0 1.0
26.0 29.47626574813469 18.811033901301805 1.0 1.0
27.0 28.943904894631586 18.715242574400836 1.0 1.0
28.0 28.001214706152847 16.079701345693298 1.0 1.0
29.0 27.31581266554412 13.873640612516285 1.0 1.0
30.0 26.421117986874627 12.32978629394592 1.0 1.0
31.0 25.821636034495437 12.165070310698692 1.0 1.0
32.0 24.97250681797886 12.165070310698692 1.0 1.0
33.0 24.48779650093244 13.188628945608535 1.0 1.0
34.0 24.070927401536863 11.401809134496668 1.0 1.0
35.0 23.666051858518323 9.69858595951184 1.0 1.0
36.0 23.473712417110068 8.131659590058403 1.0 1.0
37.0 23.404447536230375 6.795969817703546 1.0 1.0
38.0 23.304825680742475 5.852052959234602 1.0 1.0
39.0 23.578486908461624 5.862521640623989 1.0 1.0
40.0 23.459897431100288 5.102740007163748 1.0 1.0
41.0 23.777343565084244 4.42987748504758 1.0 1.0
42.0 23.998841047657187 4.605396126757552 1.0 1.0
43.0 24.41344583695537 4.8317932621123365 1.0 1.0
44.0 24.88388574564172 5.901903253648601 1.0 1.0
45.0 25.454837688714218 4.943700732466008 1.0 1.0
46.0 26.11857654699827 4.046184943272855 1.0 1.0
47.0 26.65623946862495 4.03770333954233 1.0 1.0
48.0 27.437746418834976 3.8922199206126105 1.0 1.0
49.0 28.201256930832624 3.7137996216513627 1.0 1.0
50.0 28.888053955427615 5.232766954586617 1.0 1.0
51.0 29.805829722385987 4.568054352036525 1.0 1.0
52.0 30.69134214147065 3.5993789080109053 1.0 1.0
53.0 31.580816805702558 4.786978008035925 1.0 1.0
54.0 32.54342198530365 6.895717887339261 1.0 1.0
55.0 33.5384961281783 6.969448754734634 1.0 1.0
56.0 34.33359236767939 7.589170357026749 1.0 1.0
57.0 35.48447227265381 6.7140560209215705 1.0 1.0
58.0 36.230407666531384 5.756102787289172 1.0 1.0
59.0 37.225350196521006 4.314904182480035 1.0 1.0
60.0 38.054546992427646 3.4794255512177625 1.0 1.0
61.0 38.89671963095284 2.8344898603914443 1.0 1.0
62.0 39.81695795570913 3.3453393900988524 1.0 1.0
63.0 40.697876702419 0.4622445195682116 1.0 1.0
64.0 41.518835720081114 1.6875346236504793 1.0 1.0
65.0 42.32441968552753 8.199858559145046 1.0 1.0
66.0 43.16931370867182 10.276626443787363 1.0 1.0
67.0 43.82876802625198 12.275710605785976 1.0 1.0
68.0 44.45898294770087 14.275360668103886 1.0 1.0
69.0 45.154259815338094 16.275018340312826 1.0 1.0
70.0 45.40025632191962 16.275018340312826 1.0 1.0
71.0 45.88789945709263 18.27466240167569 1.0 1.0
72.0 46.21404617356168 20.2743674946961 1.0 1.0
73.0 46.67064888649778 24.27391867124505 1.0 1.0
74.0 47.0375706333973 26.139798028019676 1.0 1.0
75.0 47.45285105637349 27.918032459726305 1.0 1.0
76.0 47.88542560816022 29.724468572188258 1.0 1.0
77.0 48.340443382989704 31.554263220295404 1.0 1.0
78.0 48.717868960201294 33.40357799476528 1.0 1.0
79.0 49.17840855723857 33.794974647680675 1.0 1.0
80.0 49.667960218753656 33.62207730916806 1.0 1.0
81.0 49.688773027630035 33.567660831967515 1.0 1.0
82.0 49.81688855197285 33.567660831967515 1.0 1.0
83.0 49.90913073942046 33.63230032091726 1.0 1.0
84.0 49.87575710014467 33.81531304043713 2.0 2.0
85.0 49.917728795386864 34.114793963457636 2.0 2.0
86.0 49.92416200530869 34.52771261342974 2.0 2.0
87.0 49.99306661274125 34.52771261342974 2.0 2.0
88.0 50.09434528223886 34.52771261342974 2.0 2.0
89.0 50.291161424623255 34.52771261342974 2.0 2.0
90.0 50.41922522080178 34.52771261342974 2.0 2.0
91.0 50.55365169700527 34.52771261342974 2.0 2.0
92.0 50.592684170340185 32.68885233109152 2.0 2.0
93.0 50.496018613011664 30.80205114945381 2.0 2.0
94.0 50.48429247098903 30.871852421126267 2.0 2.0
95.0 50.329997546491185 30.92549247604599 2.0 2.0
96.0 50.136380850705656 30.942249864445916 2.0 2.0
97.0 49.96426095793706 30.941040775062948 2.0 2.0
98.0 49.8594771121819 30.95253072715085 2.0 2.0
99.0 49.88520509104613 32.94999915773247 2.0 2.0
100.0 49.86268966677711 34.940225015464804 2.0 2.0
