#####################################################################
# Alchemist log file - simulation started at: 2023-03-03T08:05+0000 #
#####################################################################
#
# random = 15.0
#
# The columns have the following meaning: 
# time avgDistanceTeam[mean] minDistance[min] inDanger dangerTriggered 
0.0 NaN NaN 0.0 0.0
0.0 NaN NaN 0.0 0.0
1.0 NaN 15.978313328641608 1.0 1.0
2.0 NaN 25.75449501571817 1.0 1.0
3.0 63.09845882990547 23.75449501571817 1.0 1.0
4.0 58.961331826323566 21.754495015718167 1.0 1.0
5.0 57.19455821228012 19.754495015718167 1.0 1.0
6.0 55.42244978356969 22.75449501571817 1.0 1.0
7.0 53.49290234526627 20.754495015718167 1.0 1.0
8.0 51.8502602325698 22.75449501571817 1.0 1.0
9.0 49.90883129797168 20.754495015718167 1.0 1.0
10.0 49.77927388609024 18.754495015718167 1.0 1.0
11.0 47.90583838147905 21.754495015718167 1.0 1.0
12.0 46.16972788880848 19.754495015718167 1.0 1.0
13.0 44.5458564718778 22.75449501571817 1.0 1.0
14.0 42.70633684543468 20.754495015718167 1.0 1.0
15.0 41.09619075354479 22.75449501571817 1.0 1.0
16.0 39.73260184332519 20.754495015718167 1.0 1.0
17.0 38.16578730945431 18.754495015718167 1.0 1.0
18.0 36.86114719482844 21.754495015718167 1.0 1.0
19.0 35.42746122049314 19.754495015718167 1.0 1.0
20.0 33.94469723815189 22.75449501571817 1.0 1.0
21.0 32.47290723443565 20.754495015718167 1.0 1.0
22.0 31.538117508296548 21.769935903721446 1.0 1.0
23.0 30.36621131482637 19.770004021911667 1.0 1.0
24.0 30.994725780236237 18.532349866741967 1.0 1.0
25.0 30.050487942405766 20.343668688038708 1.0 1.0
26.0 28.948701891552034 17.861578724742913 1.0 1.0
27.0 28.386171687178667 17.55959333445461 1.0 1.0
28.0 27.20018704827579 17.55959333445461 1.0 1.0
29.0 26.68712652920795 17.935858472632923 1.0 1.0
30.0 25.462088462213398 17.58315989850827 1.0 1.0
31.0 25.354933917335767 18.149637977901087 1.0 1.0
32.0 24.65054367144456 18.407565580799478 1.0 1.0
33.0 24.366266972578778 16.476186226805687 1.0 1.0
34.0 23.78535757576513 14.563342835672344 1.0 1.0
35.0 23.588343813502497 12.677428624065545 1.0 1.0
36.0 23.01584629251625 10.832517643060807 1.0 1.0
37.0 22.803988076101312 9.053710866609933 1.0 1.0
38.0 22.55220647163429 7.388905360411497 1.0 1.0
39.0 22.271652436170296 4.883483015534225 1.0 1.0
40.0 21.937668747582066 4.883483015534225 1.0 1.0
41.0 22.045459823754882 4.524892079592369 1.0 1.0
42.0 22.04573619067863 5.010078871724886 1.0 1.0
43.0 22.33296041861792 3.0436066131587425 1.0 1.0
44.0 22.69711298422705 2.9765298611078843 1.0 1.0
45.0 23.178703416120364 4.794059489597318 1.0 1.0
46.0 23.77726192314907 4.450979065983171 1.0 1.0
47.0 24.305927767804338 6.1210808814999735 1.0 1.0
48.0 25.002520288039637 6.1210808814999735 1.0 1.0
49.0 25.93489604031674 7.635171210515598 1.0 1.0
50.0 26.762149348357713 7.826879480416321 1.0 1.0
51.0 27.701843573257236 6.0925709179101375 1.0 1.0
52.0 28.694960191553797 3.5830401012783395 1.0 1.0
53.0 29.628266819813927 3.563362787616593 1.0 1.0
54.0 30.781414683675134 4.533975335726099 1.0 1.0
55.0 32.04354926588276 3.35517089896785 1.0 1.0
56.0 33.0212031451745 2.352960341458523 1.0 1.0
57.0 34.28395572196273 4.253812828847606 1.0 1.0
58.0 35.21761833755832 4.253812828847606 1.0 1.0
59.0 36.32324071077307 6.031100578672557 1.0 1.0
60.0 37.529516181262466 7.91539163890584 1.0 1.0
61.0 38.75961807029649 9.845439320033236 1.0 1.0
62.0 39.95503025372207 11.481174167763623 1.0 1.0
63.0 41.09097069583123 12.52609286637021 1.0 1.0
64.0 42.224623818427766 13.90402473620603 1.0 1.0
65.0 43.37146997448432 15.52655996604953 1.0 1.0
66.0 44.515789091599444 17.325111371509923 1.0 1.0
67.0 45.31270703178038 19.250406822606017 1.0 1.0
68.0 46.09719207137845 21.268053525909078 1.0 1.0
69.0 46.810216329115164 23.354128069163213 1.0 1.0
70.0 47.371165508857885 25.491837009240374 1.0 1.0
71.0 47.89825443493901 27.66921519460544 1.0 1.0
72.0 48.2886662920215 29.74426630072447 1.0 1.0
73.0 48.64125579115134 30.121466601671067 1.0 1.0
74.0 48.85975102092731 30.748934140517683 1.0 1.0
75.0 49.1219207947171 31.611769634035657 1.0 1.0
76.0 49.36785834661035 32.69134191323332 1.0 1.0
77.0 49.47972829051987 33.96699163681783 1.0 1.0
78.0 49.49695211834447 35.41753850422861 1.0 1.0
79.0 49.62227503055781 36.96280021741885 1.0 1.0
80.0 49.9021302455754 37.53727336697141 1.0 1.0
81.0 50.16090245724688 38.2079204320343 1.0 1.0
82.0 50.372956573113996 38.969776438345015 1.0 1.0
83.0 50.557476401937436 38.969776438345015 1.0 1.0
84.0 50.682001505642035 38.969776438345015 2.0 2.0
85.0 50.82351350000758 38.668862703641835 2.0 2.0
86.0 50.90516553821566 38.29013843615998 2.0 2.0
87.0 50.723400714424066 37.9562499786341 2.0 2.0
88.0 50.54355691572947 37.709888796306835 2.0 2.0
89.0 50.437229446665874 37.709888796306835 2.0 2.0
90.0 50.40054844341628 37.85689271312811 2.0 2.0
91.0 50.3230353009914 38.20611874442831 2.0 2.0
92.0 50.29245957030881 38.20611874442831 2.0 2.0
93.0 50.301028105743484 37.811496465050304 2.0 2.0
94.0 50.36091010123357 37.51838667912254 2.0 2.0
95.0 50.40095957092952 37.330274752294656 2.0 2.0
96.0 50.376710081231465 37.24793362941467 2.0 2.0
97.0 50.36693169128377 37.24793362941467 2.0 2.0
98.0 50.37243214375116 37.27150765383995 2.0 2.0
99.0 50.394865594936284 37.45984572031068 2.0 2.0
100.0 50.39889907415466 37.646161405807504 2.0 2.0
