#####################################################################
# Alchemist log file - simulation started at: 2023-03-03T08:05+0000 #
#####################################################################
#
# random = 43.0
#
# The columns have the following meaning: 
# time avgDistanceTeam[mean] minDistance[min] inDanger dangerTriggered 
0.0 NaN NaN 0.0 0.0
0.0 NaN NaN 0.0 0.0
1.0 NaN 41.09967804343801 1.0 1.0
2.0 NaN 41.09967804343801 1.0 1.0
3.0 63.72893601052366 39.099678043438 1.0 1.0
4.0 60.04473380705547 37.09967804343798 1.0 1.0
5.0 58.68856024722549 35.09967804343797 1.0 1.0
6.0 57.9192525039914 33.099678043437954 1.0 1.0
7.0 56.005013973898315 31.09967804343794 1.0 1.0
8.0 54.100787341624724 29.099678043437926 1.0 1.0
9.0 52.315056423541414 27.099678043437915 1.0 1.0
10.0 50.47037636718454 25.0996780434379 1.0 1.0
11.0 48.61745223981127 23.099678043437887 1.0 1.0
12.0 46.69890557723049 21.099678043437926 1.0 1.0
13.0 45.15816994931802 19.099678043437965 1.0 1.0
14.0 43.364258614082146 18.503166688164566 1.0 1.0
15.0 41.9511802532427 19.36924119000392 1.0 1.0
16.0 40.43028342062377 18.29992741199473 1.0 1.0
17.0 39.13675990884435 20.095450375494845 1.0 1.0
18.0 37.47383795632297 18.098058694907333 1.0 1.0
19.0 36.29621347783939 18.6643408593119 1.0 1.0
20.0 35.00191729523901 18.77901729416906 1.0 1.0
21.0 33.739494944435876 18.555574831037077 1.0 1.0
22.0 32.97730846524014 18.98408918664361 1.0 1.0
23.0 32.91216720346594 18.610337783498398 1.0 1.0
24.0 31.98398021469328 18.258563780187202 1.0 1.0
25.0 31.200287493491068 18.104455157883322 1.0 1.0
26.0 30.047571155234586 18.104455157883322 1.0 1.0
27.0 29.198110663145492 18.104455157883322 1.0 1.0
28.0 28.523454444292977 16.311771132048452 1.0 1.0
29.0 27.467029841108896 14.573141677924164 1.0 1.0
30.0 26.81919168404961 12.910423667152509 1.0 1.0
31.0 25.945652753257196 11.357007535697639 1.0 1.0
32.0 25.269038752339604 9.964145777055624 1.0 1.0
33.0 24.73436847653664 8.808335936312698 1.0 1.0
34.0 24.351756788261465 7.993082188208743 1.0 1.0
35.0 23.94664410807212 7.628364422861683 1.0 1.0
36.0 23.784040874127378 7.777822617449161 1.0 1.0
37.0 23.687066186081772 8.414101590129833 1.0 1.0
38.0 23.637161499883348 9.223838790599716 1.0 1.0
39.0 23.904010239242833 8.582230095134491 1.0 1.0
40.0 24.004448105532255 8.380342760095925 1.0 1.0
41.0 24.400874535377465 8.649023999709566 1.0 1.0
42.0 24.697266919981427 9.347785166466537 1.0 1.0
43.0 24.97012134211249 10.312794143142325 1.0 1.0
44.0 25.310526392987672 7.677012934030745 1.0 1.0
45.0 25.761085379948494 5.491483163771623 1.0 1.0
46.0 26.209774529041393 4.473622948457566 1.0 1.0
47.0 26.71146460681517 5.339220208065244 1.0 1.0
48.0 27.281136772877225 0.46574735406406803 1.0 1.0
49.0 28.042087880290726 0.46574735406406803 1.0 1.0
50.0 28.611845663791836 0.8110022141300577 1.0 1.0
51.0 29.483291431673287 3.283264773886447 1.0 1.0
52.0 30.281652330929408 2.6998438448066437 1.0 1.0
53.0 31.31516474117044 3.530943554028848 1.0 1.0
54.0 32.59391787157011 4.947163395171084 1.0 1.0
55.0 33.76561422584908 4.720903900878972 1.0 1.0
56.0 34.712363868886555 2.8244225770096776 1.0 1.0
57.0 35.829329733490106 1.2913825566832042 1.0 1.0
58.0 36.783284623128615 3.1848756922746926 1.0 1.0
59.0 37.86935426542992 3.3526020243979966 1.0 1.0
60.0 38.87641648678858 4.509592675253728 1.0 1.0
61.0 39.94331311797011 6.118243363651074 1.0 1.0
62.0 40.91130521406005 7.890838566086868 1.0 1.0
63.0 41.876697651766065 9.737839391762753 1.0 1.0
64.0 42.75675219659928 11.634459243980928 1.0 1.0
65.0 43.48140106557595 13.560290571655809 1.0 1.0
66.0 44.372163875670005 15.504850175910905 1.0 1.0
67.0 44.85686091811422 15.978008356198059 1.0 1.0
68.0 45.28443369597771 15.832258488292435 1.0 1.0
69.0 45.79034433515144 11.903744462946596 1.0 1.0
70.0 46.03472867581553 11.903744462946596 1.0 1.0
71.0 46.42763373849075 9.960848053185238 1.0 1.0
72.0 46.76139323566586 6.1852418980723565 1.0 1.0
73.0 47.1161919044959 4.447086578557128 1.0 1.0
74.0 47.54932336135246 3.0489245213183698 1.0 1.0
75.0 47.97306328091522 3.0489245213183698 1.0 1.0
76.0 48.36515269357816 2.6106134214414523 1.0 1.0
77.0 48.765037429672134 3.5120740504329238 1.0 1.0
78.0 49.088019663289025 5.084685421463031 1.0 1.0
79.0 49.31580667709769 6.882832813221118 1.0 1.0
80.0 49.47464826459823 10.696359704767948 1.0 1.0
81.0 49.57850458515491 12.646401568560876 1.0 1.0
82.0 49.59078169144185 12.646401568560876 1.0 1.0
83.0 49.68653876883844 16.582225303991343 1.0 1.0
84.0 49.75822857936273 18.560429890814685 2.0 2.0
85.0 49.8099467581003 20.542855678589667 2.0 2.0
86.0 49.941683577735446 22.528388338513714 2.0 2.0
87.0 50.02634659184541 24.516273020799837 2.0 2.0
88.0 50.064640086392075 26.505980542698484 2.0 2.0
89.0 50.095736512886205 28.497129087496212 2.0 2.0
90.0 50.032756782054086 30.489436333407916 2.0 2.0
91.0 49.98165958357606 32.48268907631334 2.0 2.0
92.0 50.01877603468708 34.47672332644095 2.0 2.0
93.0 50.067703673465246 35.26241362726538 2.0 2.0
94.0 50.038889631161226 33.50595166682561 2.0 2.0
95.0 49.99246222642272 33.341705643995006 2.0 2.0
96.0 50.085365505916684 33.241970128583326 2.0 2.0
97.0 50.18235478593923 33.21690005254954 2.0 2.0
98.0 50.24914772934115 33.21690005254954 2.0 2.0
99.0 50.33340871136847 33.21690005254954 2.0 2.0
100.0 50.381931078291025 33.21690005254954 2.0 2.0
