#####################################################################
# Alchemist log file - simulation started at: 2024-01-16T13:54+0000 #
#####################################################################
#
# random = 13.0
#
# The columns have the following meaning: 
# time distance[mean] distance[std] 
0.0 406.57924946586627 136.29557081211195
0.0 406.57924946586627 136.29557081211195
1.0 406.57924946586627 136.29557081211195
2.0 406.5132159737987 136.3973700809023
3.0 406.48571636794804 136.42999034697493
4.0 406.35265067298496 136.61081288975447
5.0 406.121973514374 136.8630990692928
6.0 405.8054500590631 137.09387446048532
7.0 405.4897748682361 137.30912452621888
8.0 404.91266255867635 137.47233650750866
9.0 404.1037436719883 137.47541963677583
10.0 403.3026321502037 137.40940994438267
11.0 402.420580312135 137.27995648077442
12.0 401.60428717958825 137.19079318690885
13.0 400.746969013448 137.14437388503566
14.0 399.87123446729464 137.08993305183623
15.0 398.9741794760858 136.9948983654657
16.0 398.07761637058826 136.90092146971858
17.0 397.20201609713445 136.8165678082985
18.0 396.3464757713751 136.71193839556184
19.0 395.5317616635804 136.62630950694464
20.0 394.717073051974 136.57096056257572
21.0 393.84569087504457 136.50084816624022
22.0 392.9544383929477 136.40238369899376
23.0 392.1017543242919 136.30380283807975
24.0 391.2099117615771 136.20395385005864
25.0 390.30072069103295 136.11316543336642
26.0 389.46784949790725 136.01036644038402
27.0 388.59631361186786 135.90502504293
28.0 387.73089454966697 135.85545851049625
29.0 386.8452912779464 135.72968081258426
30.0 385.9791063465213 135.6326360777125
31.0 385.0697171892945 135.50875361543498
32.0 384.22487256123526 135.42698848537344
33.0 383.34088437925806 135.338387404323
34.0 382.458644316803 135.2437209123863
35.0 381.5746575473042 135.13583489848003
36.0 380.6944909966815 135.06910002309314
37.0 379.83490376682045 134.9878754156901
38.0 378.9746941259525 134.88512828925892
39.0 378.1165193848346 134.75724052082765
40.0 377.23535579325295 134.620126003121
41.0 376.39443123980453 134.52398668106238
42.0 375.5183004536154 134.45191671794524
43.0 374.6229773248488 134.34456679606174
44.0 373.7285178929416 134.2362043695935
45.0 372.8736631888305 134.12288997511953
46.0 372.02173219479033 134.04296835749443
47.0 371.19944452504 133.87671709426877
48.0 370.32762062710214 133.77371029581494
49.0 369.43742603580694 133.6603579687392
50.0 368.5906377899567 133.52241132995542
51.0 367.71913553551076 133.36087402469693
52.0 366.87152490872694 133.26416810908412
53.0 366.03134449477596 133.15366483722622
54.0 365.2088228324597 133.03098054243586
55.0 364.3700267669089 132.8477414113714
56.0 363.50987638713787 132.74474083379891
57.0 362.66657516238325 132.62449239906437
58.0 361.7854233957776 132.5012790835652
59.0 360.9251184171917 132.39554532821106
60.0 360.0851320859597 132.26958024296152
61.0 359.2236315638315 132.11833503784524
62.0 358.3631140942514 131.96604376840065
63.0 357.5243035329431 131.82322735459545
64.0 356.70332709482255 131.62646430627467
65.0 355.88464893368723 131.45836576973167
66.0 355.0694858336315 131.333836631826
67.0 354.23078823255474 131.15121604464184
68.0 353.43935872853945 131.02638396884933
69.0 352.6087833990013 130.86869135930667
70.0 351.75375385639285 130.7131149095306
71.0 350.9605861918003 130.55065548540412
72.0 350.1141088747153 130.38093930675026
73.0 349.2640246635668 130.2179991315987
74.0 348.4751207661474 130.04075369550824
75.0 347.66828009354714 129.9072637670551
76.0 346.8633989969575 129.7827787465289
77.0 346.0407953405632 129.62876579187994
78.0 345.21048479718024 129.47507756117767
79.0 344.3573313950226 129.3189517604572
80.0 343.53858152916405 129.1672094321579
81.0 342.7328951957555 129.0351998189492
82.0 341.89363974383167 128.85465443325862
83.0 341.09060580039875 128.65886989557558
84.0 340.2853174497903 128.48021912491808
85.0 339.46265545631246 128.33194664701986
86.0 338.64281172760946 128.19444553899632
87.0 337.82455650144794 128.02381936547826
88.0 336.9881604407866 127.84790665708144
89.0 336.22706730801264 127.70965668232314
90.0 335.41905801504214 127.55795774145982
91.0 334.6521076421316 127.3971260219548
92.0 333.84847656332875 127.22681922520758
93.0 333.0224120009503 127.03891968019889
94.0 332.2164343302952 126.85213299319923
95.0 331.44569531016583 126.66688176167497
96.0 330.6049709038952 126.49039789834282
97.0 329.801083336796 126.28359029247721
98.0 329.0657029161617 126.13628270589375
99.0 328.26919668390843 125.94407790602978
100.0 327.4844053370445 125.75588964083504
101.0 326.70776647847777 125.61637999123873
102.0 325.8898428549116 125.42184597384826
103.0 325.1312072746241 125.26613708657898
104.0 324.3304292729271 125.06248315488311
105.0 323.603273137281 124.91315817101281
106.0 322.8470195254914 124.72299067485184
107.0 322.0657178935059 124.49428454794622
108.0 321.29343033266855 124.2675806976615
109.0 320.552890545999 124.12370860206615
110.0 319.81526050519807 123.91800158936881
111.0 319.03045757314925 123.71638614364676
112.0 318.25827513113506 123.47896835460539
113.0 317.48867170561374 123.24892728608141
114.0 316.7195653235271 123.02667746175531
115.0 315.94831873222535 122.83794984255368
116.0 315.1985043172734 122.63768082906276
117.0 314.44347497208895 122.45170541450214
118.0 313.6953389069455 122.24076110342456
119.0 312.8962185222391 122.02978261046114
120.0 312.1287993476057 121.81129959239377
121.0 311.3321521893548 121.60029035495835
122.0 310.5551169101854 121.37345140838138
123.0 309.78141598577616 121.19373890932854
124.0 309.0505895184486 121.02464970326764
125.0 308.28016709051286 120.81744066539251
126.0 307.5178717903387 120.60798883977935
127.0 306.75810734836864 120.35889012884674
128.0 305.9987163423018 120.13569842960638
129.0 305.2513302465423 119.88446425957497
130.0 304.5335992545814 119.70134225262841
131.0 303.7995723187998 119.46201588775979
132.0 303.06457350979065 119.22456068002164
133.0 302.35900855966275 119.04214990201886
134.0 301.64205947045514 118.85214016448757
135.0 300.9132569142032 118.67046026484847
136.0 300.2140130313754 118.45543706205203
137.0 299.4651147973431 118.23446315144894
138.0 298.7125314030562 117.98713167567314
139.0 298.02575547714565 117.79246126427346
140.0 297.3154558573087 117.53940244419994
141.0 296.5753908915536 117.30222946748401
142.0 295.816296917093 117.05553483074614
143.0 295.0904750928516 116.83670907496055
144.0 294.3551728308904 116.548686898171
145.0 293.6017002124808 116.29771318095116
146.0 292.89492238851784 116.06003427349991
147.0 292.1999947349163 115.85206069696605
148.0 291.46057995872224 115.61936732773646
149.0 290.7470815579289 115.36268493532408
150.0 290.02918293197325 115.10701246967358
151.0 289.3092675698425 114.85472295305577
152.0 288.55197322761666 114.61231305572302
153.0 287.86050820966324 114.4125631002245
154.0 287.1440693683972 114.20878063227062
155.0 286.3957353555011 113.95850487580013
156.0 285.7255024606499 113.74279458145506
157.0 284.9958253644659 113.52201697863273
158.0 284.27160700025064 113.27969200040117
159.0 283.55012668154353 113.04780580398919
160.0 282.86109485715866 112.84549617610887
161.0 282.11778255439407 112.59409807184188
162.0 281.4192021395883 112.31741413996305
163.0 280.68316881636855 112.05987817048423
164.0 279.9488095364388 111.80138036259805
165.0 279.23031712819676 111.52916847825418
166.0 278.5603820261509 111.32008608895975
167.0 277.8504458672955 111.09663075009456
168.0 277.13187840382903 110.82791885800891
169.0 276.4293000819055 110.56472159412039
170.0 275.7433585722969 110.27898170004845
171.0 275.09407653455213 110.03632226514698
172.0 274.44377918428165 109.83224457490363
173.0 273.72366969529816 109.56618869162764
174.0 273.02591271413104 109.29756508350798
175.0 272.35940666123076 109.06758314294731
176.0 271.6542194976785 108.83395156830001
177.0 270.96078553341687 108.57318152233385
178.0 270.27053214462916 108.32344351932974
179.0 269.5934110433946 108.06244248236301
180.0 268.91980416146043 107.7890756971239
181.0 268.21625461012815 107.5174486292687
182.0 267.5309865840453 107.25318846034676
183.0 266.86776425620195 107.02296942638813
184.0 266.1616688128747 106.78164524222521
185.0 265.5012933664078 106.52284123090637
186.0 264.85284269909044 106.26689372619778
187.0 264.1832666165475 105.97021828063072
188.0 263.5076284593212 105.70336737518643
189.0 262.82641326509616 105.45507068326881
190.0 262.15688081836305 105.17673325472279
191.0 261.5253532395254 104.94625595060378
192.0 260.8682878529591 104.63390821066895
193.0 260.2023725839653 104.32572173113084
