#####################################################################
# Alchemist log file - simulation started at: 2024-01-16T14:05+0000 #
#####################################################################
#
# random = 13.0
#
# The columns have the following meaning: 
# time angle[mean] angle[std] 
0.0 175.8337422688342 104.1938720822794
0.0 175.8337422688342 104.1938720822794
1.0 175.8337422688342 104.1938720822794
2.0 175.84039473641107 104.19686308974948
3.0 175.84642072764993 104.18497627221674
4.0 175.8610160743666 104.17939068225378
5.0 175.89271984882836 104.16582275075237
6.0 175.93437768385672 104.15486463057164
7.0 175.96730634402147 104.14606363996202
8.0 176.0045294351994 104.13050678200314
9.0 176.04251119773622 104.116163546811
10.0 168.57336062496083 103.54253064654343
11.0 168.60888152749877 103.5290189303063
12.0 168.64542014330104 103.51156079743194
13.0 168.68161837273126 103.48870590241795
14.0 168.72086624185786 103.469883050467
15.0 168.75694717632342 103.45373046507989
16.0 168.79682988586964 103.43465132425591
17.0 168.83489426764402 103.41354551903893
18.0 168.87683046076737 103.39178755936715
19.0 168.91102064021004 103.37630069940991
20.0 168.9510387356061 103.36017682052439
21.0 168.98966025841023 103.34478698548257
22.0 169.0273788965763 103.3296311102406
23.0 169.07254666781623 103.30915947993154
24.0 169.11197931296508 103.28834233033211
25.0 169.15133367152606 103.2703952644454
26.0 169.17767663438607 103.26638884818833
27.0 169.21419275255087 103.25524900702764
28.0 169.25430763754068 103.23638792036505
29.0 169.29758118572397 103.21951151494295
30.0 169.33639980225163 103.20543412103488
31.0 169.37117394296638 103.19536911966235
32.0 169.41410647400343 103.17987350571691
33.0 169.45337362035536 103.16323309365464
34.0 169.4956519817915 103.14526773529181
35.0 169.53550877993985 103.13008335267969
36.0 169.57735544845622 103.11186885839274
37.0 169.6185392993004 103.0981548348423
38.0 169.66121239011156 103.0858959491574
39.0 169.70445161974973 103.07342357925853
40.0 169.74364568404994 103.05305836763003
41.0 169.78304786562344 103.04126942076013
42.0 169.82716760260894 103.02561680650332
43.0 169.87123078370342 103.0101933368003
44.0 169.90614552151706 102.99553673389484
45.0 169.9431852764918 102.98229590436463
46.0 169.98004033993558 102.9646812247081
47.0 170.0158343283729 102.95286667138316
48.0 170.05236731929742 102.94812900248466
49.0 170.08736243791313 102.94584172467968
50.0 170.12808899812384 102.93932961742485
51.0 170.1704811345187 102.9290675996226
52.0 170.2153813489137 102.91470370011083
53.0 170.26457325664853 102.90375107293215
54.0 170.3058260278806 102.89499654202311
55.0 170.3418164932613 102.87600282400724
56.0 170.38238132613483 102.86696899052735
57.0 170.4291358761729 102.85505475202213
58.0 170.47358654907035 102.84433568695945
59.0 170.51807546787018 102.83362317629532
60.0 170.56496498088254 102.8229871078314
61.0 170.609749746213 102.81272696995008
62.0 170.6560540393 102.80221603134339
63.0 170.69978545262884 102.79084207253506
64.0 170.74039876930655 102.79230158863085
65.0 170.7889299237842 102.78189772308625
66.0 170.83538655495036 102.77363566959234
67.0 170.8802922945082 102.77054361542025
68.0 170.9224629068535 102.7567139295757
69.0 170.96853124296987 102.74848886271447
70.0 171.01208554893108 102.74312916510158
71.0 171.05875326076236 102.73077420438162
72.0 171.1105327160635 102.72347175971923
73.0 171.15792303113108 102.71696880538585
74.0 171.20779429962718 102.70817950544868
75.0 171.25336909701153 102.70558924774191
76.0 171.30042015317326 102.69894985812446
77.0 171.35067932636926 102.69343667640301
78.0 171.3996779721399 102.68903186289785
79.0 171.4483167848288 102.68504430084346
80.0 171.49288247431684 102.67634884499023
81.0 171.54427451424465 102.67316778517767
82.0 171.60139863831327 102.6692211685754
83.0 171.6552171862614 102.66689363544292
84.0 171.69385819248848 102.65545171261768
85.0 171.74224968397883 102.65193480447287
86.0 171.79259105782896 102.65113665535142
87.0 171.84122926350847 102.64981076859381
88.0 171.89184194579877 102.64989830415372
89.0 171.93890000015054 102.65456852074114
90.0 171.98992268375085 102.65595245378599
91.0 172.0268648205077 102.6417927793349
